cluster,similarity,similarity_type
cluster6-medoid0,7.0,complete
cluster6-medoid0,2.596923076923077,average
cluster6-medoid0,1.52,medoid
cluster6-medoid1,8.0,complete
cluster6-medoid1,3.4273049645390072,average
cluster6-medoid1,2.1702127659574466,medoid
cluster6-medoid2,6.0,complete
cluster6-medoid2,2.295238095238095,average
cluster6-medoid2,1.25,medoid
cluster6-medoid3,6.0,complete
cluster6-medoid3,2.3968253968253967,average
cluster6-medoid3,1.4285714285714286,medoid
cluster4-medoid0,7.0,complete
cluster4-medoid0,3.241565452091768,average
cluster4-medoid0,2.0526315789473686,medoid
cluster4-medoid1,5.0,complete
cluster4-medoid1,2.3659420289855073,average
cluster4-medoid1,1.3478260869565217,medoid
cluster4-medoid2,4.0,complete
cluster4-medoid2,2.1666666666666665,average
cluster4-medoid2,1.0,medoid
cluster4-medoid3,6.0,complete
cluster4-medoid3,2.852272727272727,average
cluster4-medoid3,1.65625,medoid
cluster0-medoid0,9.0,complete
cluster0-medoid0,3.587096774193548,average
cluster0-medoid0,2.3666666666666667,medoid
cluster0-medoid1,7.0,complete
cluster0-medoid1,2.7846153846153845,average
cluster0-medoid1,1.56,medoid
cluster1-medoid0,7.0,complete
cluster1-medoid0,3.1527093596059115,average
cluster1-medoid0,1.7857142857142858,medoid
cluster1-medoid1,8.0,complete
cluster1-medoid1,3.4115384615384614,average
cluster1-medoid1,2.3333333333333335,medoid
cluster1-medoid2,7.0,complete
cluster1-medoid2,2.4532019704433496,average
cluster1-medoid2,1.4642857142857142,medoid
cluster2-medoid0,9.0,complete
cluster2-medoid0,4.742424242424242,average
cluster2-medoid0,3.5454545454545454,medoid
cluster2-medoid1,7.0,complete
cluster2-medoid1,3.242424242424242,average
cluster2-medoid1,1.8571428571428572,medoid
cluster2-medoid2,7.0,complete
cluster2-medoid2,3.251231527093596,average
cluster2-medoid2,2.0714285714285716,medoid
cluster2-medoid3,7.0,complete
cluster2-medoid3,2.649193548387097,average
cluster2-medoid3,1.4838709677419355,medoid
cluster3-medoid0,9.0,complete
cluster3-medoid0,3.8666666666666667,average
cluster3-medoid0,2.5,medoid
cluster3-medoid1,4.0,complete
cluster3-medoid1,2.2,average
cluster3-medoid1,1.0,medoid
cluster3-medoid2,9.0,complete
cluster3-medoid2,4.035714285714286,average
cluster3-medoid2,3.0,medoid
cluster5-medoid0,7.0,complete
cluster5-medoid0,3.276190476190476,average
cluster5-medoid0,2.25,medoid
cluster5-medoid1,9.0,complete
cluster5-medoid1,4.533333333333333,average
cluster5-medoid1,3.2,medoid
cluster5-medoid2,7.0,complete
cluster5-medoid2,2.7473684210526317,average
cluster5-medoid2,1.894736842105263,medoid
