,model_clstr,fitness,precision
0,cluster6-medoid0,1.0,1.0
1,cluster6-medoid1,1.0,1.0
2,cluster6-medoid2,1.0,1.0
3,cluster6-medoid3,1.0,0.901928600738613
4,cluster4-medoid0,1.0,1.0
5,cluster4-medoid1,0.9999993907781921,0.9527665317139001
6,cluster4-medoid2,1.0,1.0
7,cluster4-medoid3,1.0,1.0
8,cluster0-medoid0,1.0,1.0
9,cluster0-medoid1,1.0,1.0
10,cluster1-medoid0,1.0,1.0
11,cluster1-medoid1,1.0,1.0
12,cluster1-medoid2,0.9999992329194701,0.9888551165146909
13,cluster2-medoid0,0.9999393767050302,0.7238095238095238
14,cluster2-medoid1,1.0,1.0
15,cluster2-medoid2,1.0,1.0
16,cluster2-medoid3,1.0,0.916010498687664
17,cluster3-medoid0,1.0,1.0
18,cluster3-medoid1,0.9999935484217827,0.8461538461538461
19,cluster3-medoid2,0.9999410535623122,0.9523809523809523
20,cluster5-medoid0,0.999991652025689,0.8601880877742947
21,cluster5-medoid1,0.999957447080125,1.0
22,cluster5-medoid2,0.9999924844741762,0.6486988847583643
