,model_clstr,fitness,precision
0,cluster6-medoid0,1.0,1.0
1,cluster6-medoid1,0.9999967213989054,1.0
2,cluster6-medoid2,0.9999823533563916,0.5334003013561024
3,cluster6-medoid3,0.9999944415446648,0.7796331782096907
4,cluster4-medoid0,1.0,1.0
5,cluster4-medoid1,0.999990652141753,0.7556528081692195
6,cluster4-medoid2,1.0,1.0
7,cluster4-medoid3,1.0,1.0
8,cluster0-medoid0,0.9999978276434276,1.0
9,cluster0-medoid1,1.0,1.0
10,cluster1-medoid0,1.0,1.0
11,cluster1-medoid1,0.9999971321482848,1.0
12,cluster1-medoid2,0.9999925906056921,0.8421965317919076
13,cluster2-medoid0,0.9999380505936412,0.7372549019607844
14,cluster2-medoid1,0.999988075870428,0.8174868609651218
15,cluster2-medoid2,0.9999967851989541,0.8753162527171008
16,cluster2-medoid3,0.9999858555283667,0.8457047539616347
17,cluster3-medoid0,0.9999963867085373,1.0
18,cluster3-medoid1,0.9999929203978383,0.8681318681318682
19,cluster3-medoid2,0.9999416067344953,0.9508196721311475
20,cluster5-medoid0,0.9999871530556146,0.8640845070422535
21,cluster5-medoid1,0.9999360921476046,0.639240506329114
22,cluster5-medoid2,0.9999888510472469,0.6591865357643758
