,model_clstr,fitness,precision
0,cluster6-medoid0,0.9999303177235709,0.44248480262986256
1,cluster6-medoid1,0.999757349957031,0.46564938266214784
2,cluster6-medoid2,0.9999762753006273,0.379150390625
3,cluster6-medoid3,0.9999639122703111,0.4886803997552519
4,cluster4-medoid0,0.9998799817169542,0.6213867292154386
5,cluster4-medoid1,0.9999395053120529,0.5169054441260745
6,cluster4-medoid2,0.9999494115132256,0.5004903909874089
7,cluster4-medoid3,0.9999872113340253,0.45994687020615854
8,cluster0-medoid0,0.9999060093577284,0.43155403257144875
9,cluster0-medoid1,0.9999420116622187,0.2734988330150647
10,cluster1-medoid0,0.9999495634280504,0.4357832219747587
11,cluster1-medoid1,0.9998390257341454,0.45823280881727524
12,cluster1-medoid2,0.9999480954636706,0.7362004740941416
13,cluster2-medoid0,0.9999458342812334,0.743421052631579
14,cluster2-medoid1,0.9999502686618182,0.44055784179240964
15,cluster2-medoid2,0.999797004748227,0.4986556808326106
16,cluster2-medoid3,0.9999782870013695,0.4260369216015344
17,cluster3-medoid0,0.9998887905119899,0.420182484597988
18,cluster3-medoid1,0.9999930232990804,0.9038461538461539
19,cluster3-medoid2,0.9999420391025869,0.9527027027027027
20,cluster5-medoid0,0.9998292270795263,0.4374917942388993
21,cluster5-medoid1,0.9999351534801976,0.6377551020408163
22,cluster5-medoid2,0.9999839889619342,0.426904598490048
