,model_clstr,fitness,precision
0,cluster6-medoid0,1.0,1.0
1,cluster6-medoid1,1.0,1.0
2,cluster6-medoid2,0.9999944444753085,0.9897172236503856
3,cluster6-medoid3,0.9999950621427887,0.9036468330134357
4,cluster4-medoid0,1.0,1.0
5,cluster4-medoid1,0.9999926471981196,0.9518652226233454
6,cluster4-medoid2,1.0,1.0
7,cluster4-medoid3,1.0,1.0
8,cluster0-medoid0,0.9999978276434276,1.0
9,cluster0-medoid1,1.0,1.0
10,cluster1-medoid0,1.0,1.0
11,cluster1-medoid1,1.0,1.0
12,cluster1-medoid2,0.9999993421091585,0.9583987441130298
13,cluster2-medoid0,0.9999393081124823,0.726457399103139
14,cluster2-medoid1,1.0,1.0
15,cluster2-medoid2,0.9999976319182879,1.0
16,cluster2-medoid3,0.9999997398107279,0.9780853517877739
17,cluster3-medoid0,0.9999963867085373,1.0
18,cluster3-medoid1,0.9999936937277817,0.8536585365853658
19,cluster3-medoid2,0.9999417400423297,0.9509803921568627
20,cluster5-medoid0,0.9999914446576241,0.8606833493743985
21,cluster5-medoid1,0.9999508777962376,0.6422764227642277
22,cluster5-medoid2,0.9999896553526472,0.8309572301425662
