cluster_x,cluster_y,similarity,similarity_type
cluster6-medoid0,cluster6-medoid1,1.0,single
cluster6-medoid0,cluster6-medoid1,10.0,complete
cluster6-medoid0,cluster6-medoid1,4.780448717948718,average
cluster6-medoid0,cluster6-medoid1,3.0,centroid
cluster6-medoid0,cluster6-medoid1,4.108108108108108,average_centroid
cluster6-medoid0,cluster6-medoid2,1.0,single
cluster6-medoid0,cluster6-medoid2,8.0,complete
cluster6-medoid0,cluster6-medoid2,4.717948717948718,average
cluster6-medoid0,cluster6-medoid2,3.0,centroid
cluster6-medoid0,cluster6-medoid2,4.042553191489362,average_centroid
cluster6-medoid0,cluster6-medoid3,1.0,single
cluster6-medoid0,cluster6-medoid3,7.0,complete
cluster6-medoid0,cluster6-medoid3,3.9914529914529915,average
cluster6-medoid0,cluster6-medoid3,3.0,centroid
cluster6-medoid0,cluster6-medoid3,3.2580645161290325,average_centroid
cluster6-medoid0,cluster4-medoid0,0.0,single
cluster6-medoid0,cluster4-medoid0,10.0,complete
cluster6-medoid0,cluster4-medoid0,4.585798816568047,average
cluster6-medoid0,cluster4-medoid0,4.0,centroid
cluster6-medoid0,cluster4-medoid0,4.246153846153846,average_centroid
cluster6-medoid0,cluster4-medoid1,0.0,single
cluster6-medoid0,cluster4-medoid1,8.0,complete
cluster6-medoid0,cluster4-medoid1,3.891025641025641,average
cluster6-medoid0,cluster4-medoid1,3.0,centroid
cluster6-medoid0,cluster4-medoid1,3.54,average_centroid
cluster6-medoid0,cluster4-medoid2,0.0,single
cluster6-medoid0,cluster4-medoid2,8.0,complete
cluster6-medoid0,cluster4-medoid2,3.58974358974359,average
cluster6-medoid0,cluster4-medoid2,2.0,centroid
cluster6-medoid0,cluster4-medoid2,2.857142857142857,average_centroid
cluster6-medoid0,cluster4-medoid3,0.0,single
cluster6-medoid0,cluster4-medoid3,8.0,complete
cluster6-medoid0,cluster4-medoid3,3.6223776223776225,average
cluster6-medoid0,cluster4-medoid3,2.0,centroid
cluster6-medoid0,cluster4-medoid3,2.694915254237288,average_centroid
cluster6-medoid0,cluster0-medoid0,0.0,single
cluster6-medoid0,cluster0-medoid0,11.0,complete
cluster6-medoid0,cluster0-medoid0,4.893300248138958,average
cluster6-medoid0,cluster0-medoid0,3.0,centroid
cluster6-medoid0,cluster0-medoid0,4.0,average_centroid
cluster6-medoid0,cluster0-medoid1,0.0,single
cluster6-medoid0,cluster0-medoid1,7.0,complete
cluster6-medoid0,cluster0-medoid1,3.5414201183431953,average
cluster6-medoid0,cluster0-medoid1,2.0,centroid
cluster6-medoid0,cluster0-medoid1,2.75,average_centroid
cluster6-medoid0,cluster1-medoid0,0.0,single
cluster6-medoid0,cluster1-medoid0,7.0,complete
cluster6-medoid0,cluster1-medoid0,2.885941644562334,average
cluster6-medoid0,cluster1-medoid0,0.0,centroid
cluster6-medoid0,cluster1-medoid0,1.6,average_centroid
