model_clstr,fitness,precision,coverage
cluster6-medoid0,0.9999303177235708,0.4424848026298625,1.0
cluster6-medoid1,0.999757349957031,0.4656493826621478,1.0
cluster6-medoid2,0.9999762753006272,0.379150390625,1.0
cluster6-medoid3,0.9999639122703112,0.4886803997552519,1.0
cluster4-medoid0,0.9998799817169542,0.6213867292154386,1.0
cluster4-medoid1,0.9999395053120528,0.5169054441260745,1.0
cluster4-medoid2,0.9999494115132256,0.5004903909874089,1.0
cluster4-medoid3,0.9999872113340252,0.4599468702061585,1.0
cluster0-medoid0,0.9999060093577284,0.4315540325714487,1.0
cluster0-medoid1,0.9999420116622189,0.2734988330150647,1.0
cluster1-medoid0,0.9999495634280504,0.4357832219747587,1.0
cluster1-medoid1,0.9998390257341454,0.4582328088172752,1.0
cluster1-medoid2,0.9999480954636706,0.7362004740941416,1.0
cluster2-medoid0,0.9999458342812334,0.743421052631579,1.0
cluster2-medoid1,0.9999502686618182,0.4405578417924096,1.0
cluster2-medoid2,0.999797004748227,0.4986556808326106,1.0
cluster2-medoid3,0.9999782870013696,0.4260369216015344,1.0
cluster3-medoid0,0.99988879051199,0.420182484597988,1.0
cluster3-medoid1,0.9999930232990804,0.903846153846154,1.0
cluster3-medoid2,0.9999420391025868,0.9527027027027029,1.0
cluster5-medoid0,0.9998292270795264,0.4374917942388993,1.0
cluster5-medoid1,0.9999351534801976,0.6377551020408163,1.0
cluster5-medoid2,0.9999839889619342,0.426904598490048,1.0
cluster6-medoid0,1.0,1.0,0.9
cluster6-medoid1,0.9999839727465584,0.7160359674442587,0.9
cluster6-medoid2,0.999975698210163,0.368074273734651,0.9
cluster6-medoid3,0.9999870880473466,0.7571523619427811,0.9
cluster4-medoid0,0.9999565861881564,0.843034369842673,0.9
cluster4-medoid1,0.9999676163364286,0.7660524846454495,0.9
cluster4-medoid2,1.0,1.0,0.9
cluster4-medoid3,0.9999921044904468,0.9940764674205708,0.9
cluster0-medoid0,0.999998076952134,1.0,0.9
cluster0-medoid1,0.999980111096588,0.8101529902642559,0.9
cluster1-medoid0,0.9999884307415404,0.8047534865448831,0.9
cluster1-medoid1,0.9999861021608348,0.7137024594786787,0.9
cluster1-medoid2,0.9999858078868564,0.8495794161306284,0.9
cluster2-medoid0,0.99994703290672,0.7400722021660651,0.9
cluster2-medoid1,0.9999596787656598,0.8891988840175369,0.9
cluster2-medoid2,0.9999472308386632,0.7197410549440277,0.9
cluster2-medoid3,0.9999785045311868,0.3562933597621407,0.9
cluster3-medoid0,0.9999854230817816,0.8748134328358209,0.9
cluster3-medoid1,0.9999930232990804,0.903846153846154,0.9
cluster3-medoid2,0.9999420391025868,0.9527027027027029,0.9
cluster5-medoid0,0.999968746328975,0.8769700551615445,0.9
cluster5-medoid1,0.9999348703492332,0.6338797814207651,0.9
cluster5-medoid2,0.9999876037155796,0.6432964329643296,0.9
cluster6-medoid0,1.0,1.0,0.8
cluster6-medoid1,0.9999967213989054,1.0,0.8
cluster6-medoid2,0.9999823533563916,0.5334003013561024,0.8
cluster6-medoid3,0.9999944415446648,0.7796331782096907,0.8
cluster4-medoid0,1.0,1.0,0.8
cluster4-medoid1,0.999990652141753,0.7556528081692195,0.8
cluster4-medoid2,1.0,1.0,0.8
cluster4-medoid3,1.0,1.0,0.8
cluster0-medoid0,0.9999978276434276,1.0,0.8
