cluster,similarity,similarity_type
cluster2-medoid0,167.0,complete
cluster2-medoid0,22.311463252240717,average
cluster2-medoid0,14.545134443021768,medoid
cluster2-medoid1,192.0,complete
cluster2-medoid1,33.49413834087774,average
cluster2-medoid1,22.796472831267874,medoid
cluster2-medoid2,185.0,complete
cluster2-medoid2,19.543539783273413,average
cluster2-medoid2,12.994916485112563,medoid
cluster0-medoid0,119.0,complete
cluster0-medoid0,22.342016008546054,average
cluster0-medoid0,14.49483842010772,medoid
cluster0-medoid1,123.0,complete
cluster0-medoid1,19.95672954565089,average
cluster0-medoid1,13.27791203479942,medoid
cluster0-medoid2,144.0,complete
cluster0-medoid2,32.237108386189355,average
cluster0-medoid2,21.883389576302964,medoid
cluster1-medoid0,122.0,complete
cluster1-medoid0,38.15946507498772,average
cluster1-medoid0,26.48249027237354,medoid
cluster1-medoid1,87.0,complete
cluster1-medoid1,17.57911815870467,average
cluster1-medoid1,11.397163120567376,medoid
cluster1-medoid2,89.0,complete
cluster1-medoid2,22.935528715087834,average
cluster1-medoid2,15.402805611222444,medoid
