,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998247385711048,0.11079114271039525
1,cluster1-medoid1,0.9998184997074626,0.17907068418039596
2,cluster1-medoid2,0.9998173027038397,0.09941233090706625
3,cluster2-medoid0,0.9998438591193514,0.14099457877123556
4,cluster2-medoid1,0.9998458794873821,0.17222326292252432
5,cluster2-medoid2,0.9998289232763617,0.15293153764380074
6,cluster3-medoid0,0.99983775377021,0.15816160696873172
7,cluster3-medoid1,0.999821812842101,0.0939663011234615
8,cluster3-medoid2,0.9998223315882986,0.1867757832270286
9,cluster0-medoid0,0.9998482836016643,0.2434211228092632
10,cluster0-medoid1,0.9998724264202107,0.13651483298294786
11,cluster0-medoid2,0.9998267097677619,0.10771888500362181
