cluster,similarity,similarity_type
cluster1-medoid0,46.0,complete
cluster1-medoid0,16.029510900902874,average
cluster1-medoid0,10.703418803418803,medoid
cluster1-medoid1,55.0,complete
cluster1-medoid1,14.309709425939051,average
cluster1-medoid1,8.838612368024133,medoid
cluster1-medoid2,47.0,complete
cluster1-medoid2,15.909879729395785,average
cluster1-medoid2,10.566055930568949,medoid
cluster2-medoid0,43.0,complete
cluster2-medoid0,16.111911182480135,average
cluster2-medoid0,10.546315789473685,medoid
cluster2-medoid1,67.0,complete
cluster2-medoid1,15.047113209979258,average
cluster2-medoid1,9.379280821917808,medoid
cluster2-medoid2,48.0,complete
cluster2-medoid2,16.30348235188361,average
cluster2-medoid2,10.818804483188044,medoid
cluster3-medoid0,47.0,complete
cluster3-medoid0,15.887730094035536,average
cluster3-medoid0,10.359173126614987,medoid
cluster3-medoid1,45.0,complete
cluster3-medoid1,15.51511966913011,average
cluster3-medoid1,10.209912536443149,medoid
cluster3-medoid2,47.0,complete
cluster3-medoid2,13.351665560716656,average
cluster3-medoid2,8.379562043795621,medoid
cluster0-medoid0,39.0,complete
cluster0-medoid0,12.459752321981425,average
cluster0-medoid0,7.546052631578948,medoid
cluster0-medoid1,50.0,complete
cluster0-medoid1,14.371006046477744,average
cluster0-medoid1,9.343243243243244,medoid
cluster0-medoid2,43.0,complete
cluster0-medoid2,16.194626761179663,average
cluster0-medoid2,10.471794871794872,medoid
