,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998261763178441,0.10284332036760968
1,cluster1-medoid1,0.99994194076708,0.2850569506280588
2,cluster1-medoid2,0.999838109006195,0.20718905529316411
3,cluster2-medoid0,0.9998324446243956,0.1068929688954553
4,cluster2-medoid1,0.9999141206618992,0.2363458103383671
5,cluster2-medoid2,0.9998488557637453,0.20059438760930448
6,cluster3-medoid0,0.9998399187547115,0.093088106822797
7,cluster3-medoid1,0.9998220384943196,0.09257057949479941
8,cluster3-medoid2,0.9998488187817209,0.2736806891360709
9,cluster0-medoid0,0.9999527525752469,0.23677470988395355
10,cluster0-medoid1,0.9998830668668843,0.13060993620965966
11,cluster0-medoid2,0.9998271364009279,0.10511239104949288
