cluster_x,cluster_y,similarity,similarity_type
cluster1-medoid0,cluster1-medoid1,4.0,single
cluster1-medoid0,cluster1-medoid1,63.0,complete
cluster1-medoid0,cluster1-medoid1,33.21610095377239,average
cluster1-medoid0,cluster1-medoid1,24.0,centroid
cluster1-medoid0,cluster1-medoid1,28.6141689373297,average_centroid
cluster1-medoid0,cluster1-medoid2,1.0,single
cluster1-medoid0,cluster1-medoid2,56.0,complete
cluster1-medoid0,cluster1-medoid2,22.462456540446798,average
cluster1-medoid0,cluster1-medoid2,11.0,centroid
cluster1-medoid0,cluster1-medoid2,17.953372566772295,average_centroid
cluster1-medoid0,cluster2-medoid0,0.0,single
cluster1-medoid0,cluster2-medoid0,47.0,complete
cluster1-medoid0,cluster2-medoid0,16.139914225557046,average
cluster1-medoid0,cluster2-medoid0,0.0,centroid
cluster1-medoid0,cluster2-medoid0,10.599283854166666,average_centroid
cluster1-medoid0,cluster2-medoid1,3.0,single
cluster1-medoid0,cluster2-medoid1,75.0,complete
cluster1-medoid0,cluster2-medoid1,33.92184229808043,average
cluster1-medoid0,cluster2-medoid1,24.0,centroid
cluster1-medoid0,cluster2-medoid1,29.413675213675212,average_centroid
cluster1-medoid0,cluster2-medoid2,1.0,single
cluster1-medoid0,cluster2-medoid2,56.0,complete
cluster1-medoid0,cluster2-medoid2,22.99823572893357,average
cluster1-medoid0,cluster2-medoid2,11.0,centroid
cluster1-medoid0,cluster2-medoid2,18.357091432685387,average_centroid
cluster1-medoid0,cluster3-medoid0,0.0,single
cluster1-medoid0,cluster3-medoid0,54.0,complete
cluster1-medoid0,cluster3-medoid0,21.13228406419749,average
cluster1-medoid0,cluster3-medoid0,10.0,centroid
cluster1-medoid0,cluster3-medoid0,16.912123155869146,average_centroid
cluster1-medoid0,cluster3-medoid1,0.0,single
cluster1-medoid0,cluster3-medoid1,46.0,complete
cluster1-medoid0,cluster3-medoid1,15.882266200623597,average
cluster1-medoid0,cluster3-medoid1,3.0,centroid
cluster1-medoid0,cluster3-medoid1,10.87920792079208,average_centroid
cluster1-medoid0,cluster3-medoid2,1.0,single
cluster1-medoid0,cluster3-medoid2,62.0,complete
cluster1-medoid0,cluster3-medoid2,32.42502290194861,average
cluster1-medoid0,cluster3-medoid2,23.0,centroid
cluster1-medoid0,cluster3-medoid2,27.48063623789765,average_centroid
cluster1-medoid0,cluster0-medoid0,6.0,single
cluster1-medoid0,cluster0-medoid0,59.0,complete
cluster1-medoid0,cluster0-medoid0,31.938854562605,average
cluster1-medoid0,cluster0-medoid0,25.0,centroid
cluster1-medoid0,cluster0-medoid0,27.425981873111784,average_centroid
cluster1-medoid0,cluster0-medoid1,0.0,single
cluster1-medoid0,cluster0-medoid1,56.0,complete
cluster1-medoid0,cluster0-medoid1,21.941052985330575,average
cluster1-medoid0,cluster0-medoid1,13.0,centroid
cluster1-medoid0,cluster0-medoid1,18.00259403372244,average_centroid
cluster1-medoid0,cluster0-medoid2,0.0,single
cluster1-medoid0,cluster0-medoid2,44.0,complete
cluster1-medoid0,cluster0-medoid2,17.119416035417935,average
cluster1-medoid0,cluster0-medoid2,3.0,centroid
cluster1-medoid0,cluster0-medoid2,11.640295959021058,average_centroid
cluster1-medoid1,cluster1-medoid0,4.0,single
cluster1-medoid1,cluster1-medoid0,63.0,complete
cluster1-medoid1,cluster1-medoid0,33.21610095377239,average
cluster1-medoid1,cluster1-medoid0,24.0,centroid
cluster1-medoid1,cluster1-medoid0,28.6141689373297,average_centroid
cluster1-medoid1,cluster1-medoid2,7.0,single
cluster1-medoid1,cluster1-medoid2,61.0,complete
