,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998266302703325,0.09980208125244461
1,cluster1-medoid1,0.9999355309192611,0.2517821076393014
2,cluster1-medoid2,0.9999152612275062,0.14907388057724624
3,cluster2-medoid0,0.9998127746535488,0.15161742921096077
4,cluster2-medoid1,0.9999350741851597,0.24834895245571853
5,cluster2-medoid2,0.999849671139361,0.12946779649663398
6,cluster3-medoid0,0.9998398829527091,0.09191599441778142
7,cluster3-medoid1,0.9998219505094846,0.09230455749507571
8,cluster3-medoid2,0.9999356759687037,0.24631842970338425
9,cluster0-medoid0,0.9999458024235377,0.2365308804204993
10,cluster0-medoid1,0.9998682043190871,0.1010382649326178
11,cluster0-medoid2,0.999823739496511,0.10478123321196209
