,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998250404243273,0.11012751910821772
1,cluster1-medoid1,0.9997861147124328,0.2482054620437476
2,cluster1-medoid2,0.9998209874583373,0.0983560403289736
3,cluster2-medoid0,0.9998189472768657,0.10954571759819298
4,cluster2-medoid1,0.999809551607984,0.2295068151202161
5,cluster2-medoid2,0.9998310802909508,0.10545134866674188
6,cluster3-medoid0,0.9998405690553979,0.15714107625181795
7,cluster3-medoid1,0.9998222015613439,0.09298171470430794
8,cluster3-medoid2,0.9998416720458325,0.19635370591176582
9,cluster0-medoid0,0.999877507763074,0.2901630738489154
10,cluster0-medoid1,0.9998730689708777,0.13360575737100078
11,cluster0-medoid2,0.9998267802322995,0.10726573389558369
