model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9998095168320781,0.1672864928628276,0.2866167414032014,21335,7320,1.0,1
cluster2-medoid0,0.9998490213961093,0.18101267230498053,0.30653097518504485,1554,481,1.0,1
cluster2-medoid1,0.9998446144308094,0.2101937472479084,0.34736268341325977,1168,699,1.0,1
cluster2-medoid2,0.9998129401941289,0.08470228769091215,0.15617382056049217,984,689,1.0,1
cluster1-medoid0,0.9998224121185563,0.14738959168858368,0.2569070347838208,2194,1059,1.0,1
cluster1-medoid1,0.9998271130428545,0.14211504835162025,0.2488575749577953,1635,1125,1.0,1
cluster1-medoid2,0.999831603446153,0.16458720906197033,0.282646572479709,2350,587,1.0,1
cluster0-medoid0,0.9998466483426082,0.1766829131565425,0.30029983830390083,1208,655,1.0,1
cluster0-medoid1,0.9998241968082303,0.09171872469894404,0.16802381005371064,579,471,1.0,1
cluster0-medoid2,0.9998406083442509,0.14121708536070732,0.24748017092317173,527,352,1.0,1
cluster0-medoid3,0.9998393593450688,0.1977885563703452,0.33024745146990026,1526,457,1.0,1
cluster4-medoid0,0.999819378993128,0.09484387976583908,0.17325282128549077,1010,709,1.0,1
cluster4-medoid1,0.9998410458922256,0.18735454485005654,0.31557523551518496,2932,689,1.0,1
cluster4-medoid2,0.9998398068648395,0.1432198550704934,0.2505501978618394,758,473,1.0,1
cluster4-medoid3,0.9998579725360943,0.09974285282105577,0.1813907088769873,1820,850,1.0,1
cluster3-medoid0,0.9998878299400512,0.11346852235203109,0.20380859074905092,341,272,1.0,1
cluster3-medoid1,0.9998249019214082,0.09210734433489742,0.16867569729095433,257,242,1.0,1
cluster3-medoid2,0.9998360655160018,0.18366399111514964,0.3103234025628244,492,191,1.0,1
