,model_clstr,fitness,precision
0,cluster1-medoid0,0.9998173871523375,0.14222610342790798
1,cluster1-medoid1,0.9999450084584338,0.24513788245786505
2,cluster1-medoid2,0.9998216412441002,0.14120013330226877
3,cluster0-medoid0,0.9999450694128099,0.24808089754945384
4,cluster0-medoid1,0.9998124040066848,0.1320024952134008
5,cluster0-medoid2,0.99985641875974,0.1478050768221315
6,cluster2-medoid0,0.9998487140141177,0.280022390309015
7,cluster2-medoid1,0.9998344065497876,0.1627293257885255
8,cluster2-medoid2,0.9998148092958947,0.09029851484169515
