cluster,similarity,similarity_type
cluster1-medoid0,51.0,complete
cluster1-medoid0,18.229398743110135,average
cluster1-medoid0,11.982327586206896,medoid
cluster1-medoid1,62.0,complete
cluster1-medoid1,14.801959584323326,average
cluster1-medoid1,9.145833333333334,medoid
cluster1-medoid2,55.0,complete
cluster1-medoid2,17.254686744171263,average
cluster1-medoid2,11.378120411160058,medoid
cluster0-medoid0,79.0,complete
cluster0-medoid0,15.227306376553537,average
cluster0-medoid0,9.5356820234869,medoid
cluster0-medoid1,54.0,complete
cluster0-medoid1,18.80166683909731,average
cluster0-medoid1,12.367300131061599,medoid
cluster0-medoid2,60.0,complete
cluster0-medoid2,17.41059417762621,average
cluster0-medoid2,11.473369239976062,medoid
cluster2-medoid0,54.0,complete
cluster2-medoid0,13.815224315224315,average
cluster2-medoid0,8.625,medoid
cluster2-medoid1,54.0,complete
cluster2-medoid1,17.1723044397463,average
cluster2-medoid1,11.163135593220339,medoid
cluster2-medoid2,48.0,complete
cluster2-medoid2,17.6902683753207,average
cluster2-medoid2,11.770343580470163,medoid
