cluster_x,cluster_y,similarity,similarity_type
cluster1-medoid2,cluster0-medoid1,1.0,single
cluster1-medoid2,cluster0-medoid1,66.0,complete
cluster1-medoid2,cluster0-medoid1,25.114134756499205,average
cluster1-medoid2,cluster0-medoid1,11.0,centroid
cluster1-medoid2,cluster0-medoid1,19.611865942028984,average_centroid
cluster1-medoid2,cluster0-medoid2,0.0,single
cluster1-medoid2,cluster0-medoid2,57.0,complete
cluster1-medoid2,cluster0-medoid2,17.351298149662824,average
cluster1-medoid2,cluster0-medoid2,0.0,centroid
cluster1-medoid2,cluster0-medoid2,11.423064250411862,average_centroid
cluster1-medoid2,cluster2-medoid0,1.0,single
cluster1-medoid2,cluster2-medoid0,63.0,complete
cluster1-medoid2,cluster2-medoid0,25.093740041649067,average
cluster1-medoid2,cluster2-medoid0,12.0,centroid
cluster1-medoid2,cluster2-medoid0,19.773493975903616,average_centroid
cluster1-medoid2,cluster2-medoid1,0.0,single
cluster1-medoid2,cluster2-medoid1,55.0,complete
cluster1-medoid2,cluster2-medoid1,17.35758702898562,average
cluster1-medoid2,cluster2-medoid1,1.0,centroid
cluster1-medoid2,cluster2-medoid1,11.374727668845315,average_centroid
cluster1-medoid2,cluster2-medoid2,1.0,single
cluster1-medoid2,cluster2-medoid2,58.0,complete
cluster1-medoid2,cluster2-medoid2,24.88761650743873,average
cluster1-medoid2,cluster2-medoid2,14.0,centroid
cluster1-medoid2,cluster2-medoid2,20.305685967657798,average_centroid
cluster0-medoid0,cluster1-medoid0,4.0,single
cluster0-medoid0,cluster1-medoid0,80.0,complete
cluster0-medoid0,cluster1-medoid0,35.92680003795202,average
cluster0-medoid0,cluster1-medoid0,24.0,centroid
cluster0-medoid0,cluster1-medoid0,30.04811898512686,average_centroid
cluster0-medoid0,cluster1-medoid1,0.0,single
cluster0-medoid0,cluster1-medoid1,78.0,complete
cluster0-medoid0,cluster1-medoid1,15.021503784648424,average
cluster0-medoid0,cluster1-medoid1,0.0,centroid
cluster0-medoid0,cluster1-medoid1,9.36051948051948,average_centroid
cluster0-medoid0,cluster1-medoid2,3.0,single
cluster0-medoid0,cluster1-medoid2,77.0,complete
cluster0-medoid0,cluster1-medoid2,26.058597381545805,average
cluster0-medoid0,cluster1-medoid2,13.0,centroid
cluster0-medoid0,cluster1-medoid2,20.352893565358155,average_centroid
cluster0-medoid0,cluster0-medoid1,8.0,single
cluster0-medoid0,cluster0-medoid1,80.0,complete
cluster0-medoid0,cluster0-medoid1,36.19581910909669,average
cluster0-medoid0,cluster0-medoid1,24.0,centroid
cluster0-medoid0,cluster0-medoid1,30.195385724585435,average_centroid
cluster0-medoid0,cluster0-medoid2,3.0,single
cluster0-medoid0,cluster0-medoid2,78.0,complete
cluster0-medoid0,cluster0-medoid2,25.88606675245712,average
cluster0-medoid0,cluster0-medoid2,13.0,centroid
cluster0-medoid0,cluster0-medoid2,20.216546762589928,average_centroid
cluster0-medoid0,cluster2-medoid0,0.0,single
cluster0-medoid0,cluster2-medoid0,73.0,complete
cluster0-medoid0,cluster2-medoid0,14.540276410312512,average
cluster0-medoid0,cluster2-medoid0,1.0,centroid
cluster0-medoid0,cluster2-medoid0,9.436298932384341,average_centroid
cluster0-medoid0,cluster2-medoid1,4.0,single
cluster0-medoid0,cluster2-medoid1,77.0,complete
cluster0-medoid0,cluster2-medoid1,26.77130765297166,average
cluster0-medoid0,cluster2-medoid1,14.0,centroid
cluster0-medoid0,cluster2-medoid1,21.602150537634408,average_centroid
cluster0-medoid0,cluster2-medoid2,6.0,single
cluster0-medoid0,cluster2-medoid2,80.0,complete
cluster0-medoid0,cluster2-medoid2,36.52305842640983,average
cluster0-medoid0,cluster2-medoid2,27.0,centroid
cluster0-medoid0,cluster2-medoid2,32.16546329723225,average_centroid
cluster0-medoid1,cluster1-medoid0,0.0,single
cluster0-medoid1,cluster1-medoid0,56.0,complete
cluster0-medoid1,cluster1-medoid0,18.550687107122158,average
cluster0-medoid1,cluster1-medoid0,0.0,centroid
cluster0-medoid1,cluster1-medoid0,12.196501674730182,average_centroid
cluster0-medoid1,cluster1-medoid1,12.0,single
cluster0-medoid1,cluster1-medoid1,79.0,complete
cluster0-medoid1,cluster1-medoid1,35.96798461773459,average
cluster0-medoid1,cluster1-medoid1,24.0,centroid
cluster0-medoid1,cluster1-medoid1,30.018087855297157,average_centroid
cluster0-medoid1,cluster1-medoid2,1.0,single
cluster0-medoid1,cluster1-medoid2,66.0,complete
cluster0-medoid1,cluster1-medoid2,25.114134756499205,average
cluster0-medoid1,cluster1-medoid2,11.0,centroid
cluster0-medoid1,cluster1-medoid2,19.611865942028984,average_centroid
cluster0-medoid1,cluster0-medoid0,8.0,single
cluster0-medoid1,cluster0-medoid0,80.0,complete
cluster0-medoid1,cluster0-medoid0,36.19581910909669,average
cluster0-medoid1,cluster0-medoid0,24.0,centroid
cluster0-medoid1,cluster0-medoid0,30.195385724585435,average_centroid
cluster0-medoid1,cluster0-medoid2,1.0,single
cluster0-medoid1,cluster0-medoid2,65.0,complete
cluster0-medoid1,cluster0-medoid2,25.289396107366354,average
cluster0-medoid1,cluster0-medoid2,11.0,centroid
cluster0-medoid1,cluster0-medoid2,19.6605291005291,average_centroid
cluster0-medoid1,cluster2-medoid0,2.0,single
cluster0-medoid1,cluster2-medoid0,75.0,complete
cluster0-medoid1,cluster2-medoid0,34.97576154602031,average
cluster0-medoid1,cluster2-medoid0,23.0,centroid
cluster0-medoid1,cluster2-medoid0,29.32,average_centroid
cluster0-medoid1,cluster2-medoid1,0.0,single
cluster0-medoid1,cluster2-medoid1,64.0,complete
cluster0-medoid1,cluster2-medoid1,23.67882975120995,average
cluster0-medoid1,cluster2-medoid1,10.0,centroid
cluster0-medoid1,cluster2-medoid1,18.93703913783324,average_centroid
cluster0-medoid1,cluster2-medoid2,0.0,single
cluster0-medoid1,cluster2-medoid2,53.0,complete
cluster0-medoid1,cluster2-medoid2,18.362280221501962,average
cluster0-medoid1,cluster2-medoid2,3.0,centroid
cluster0-medoid1,cluster2-medoid2,12.662877737732188,average_centroid
cluster0-medoid2,cluster1-medoid0,1.0,single
cluster0-medoid2,cluster1-medoid0,62.0,complete
cluster0-medoid2,cluster1-medoid0,24.95299110060216,average
cluster0-medoid2,cluster1-medoid0,11.0,centroid
cluster0-medoid2,cluster1-medoid0,19.372401702980216,average_centroid
cluster0-medoid2,cluster1-medoid1,6.0,single
cluster0-medoid2,cluster1-medoid1,76.0,complete
cluster0-medoid2,cluster1-medoid1,25.637362154691278,average
cluster0-medoid2,cluster1-medoid1,13.0,centroid
cluster0-medoid2,cluster1-medoid1,19.963840899959823,average_centroid
cluster0-medoid2,cluster1-medoid2,0.0,single
cluster0-medoid2,cluster1-medoid2,57.0,complete
cluster0-medoid2,cluster1-medoid2,17.351298149662824,average
cluster0-medoid2,cluster1-medoid2,0.0,centroid
cluster0-medoid2,cluster1-medoid2,11.423064250411862,average_centroid
cluster0-medoid2,cluster0-medoid0,3.0,single
cluster0-medoid2,cluster0-medoid0,78.0,complete
cluster0-medoid2,cluster0-medoid0,25.88606675245712,average
cluster0-medoid2,cluster0-medoid0,13.0,centroid
cluster0-medoid2,cluster0-medoid0,20.216546762589928,average_centroid
cluster0-medoid2,cluster0-medoid1,1.0,single
cluster0-medoid2,cluster0-medoid1,65.0,complete
cluster0-medoid2,cluster0-medoid1,25.289396107366354,average
cluster0-medoid2,cluster0-medoid1,11.0,centroid
cluster0-medoid2,cluster0-medoid1,19.6605291005291,average_centroid
cluster0-medoid2,cluster2-medoid0,0.0,single
cluster0-medoid2,cluster2-medoid0,66.0,complete
cluster0-medoid2,cluster2-medoid0,24.935281845568927,average
cluster0-medoid2,cluster2-medoid0,12.0,centroid
cluster0-medoid2,cluster2-medoid0,19.61655662772981,average_centroid
cluster0-medoid2,cluster2-medoid1,0.0,single
cluster0-medoid2,cluster2-medoid1,55.0,complete
cluster0-medoid2,cluster2-medoid1,17.490127153362938,average
cluster0-medoid2,cluster2-medoid1,1.0,centroid
cluster0-medoid2,cluster2-medoid1,11.497435897435897,average_centroid
cluster0-medoid2,cluster2-medoid2,0.0,single
cluster0-medoid2,cluster2-medoid2,61.0,complete
cluster0-medoid2,cluster2-medoid2,25.11492753873525,average
cluster0-medoid2,cluster2-medoid2,14.0,centroid
cluster0-medoid2,cluster2-medoid2,20.49101527403414,average_centroid
cluster2-medoid0,cluster1-medoid0,1.0,single
cluster2-medoid0,cluster1-medoid0,73.0,complete
cluster2-medoid0,cluster1-medoid0,34.68998327378336,average
cluster2-medoid0,cluster1-medoid0,23.0,centroid
cluster2-medoid0,cluster1-medoid0,29.056531703590526,average_centroid
cluster2-medoid0,cluster1-medoid1,0.0,single
cluster2-medoid0,cluster1-medoid1,72.0,complete
cluster2-medoid0,cluster1-medoid1,14.330077601803428,average
cluster2-medoid0,cluster1-medoid1,1.0,centroid
cluster2-medoid0,cluster1-medoid1,9.071813285457809,average_centroid
cluster2-medoid0,cluster1-medoid2,1.0,single
cluster2-medoid0,cluster1-medoid2,63.0,complete
cluster2-medoid0,cluster1-medoid2,25.093740041649067,average
cluster2-medoid0,cluster1-medoid2,12.0,centroid
cluster2-medoid0,cluster1-medoid2,19.773493975903616,average_centroid
cluster2-medoid0,cluster0-medoid0,0.0,single
cluster2-medoid0,cluster0-medoid0,73.0,complete
cluster2-medoid0,cluster0-medoid0,14.540276410312512,average
cluster2-medoid0,cluster0-medoid0,1.0,centroid
cluster2-medoid0,cluster0-medoid0,9.436298932384341,average_centroid
cluster2-medoid0,cluster0-medoid1,2.0,single
cluster2-medoid0,cluster0-medoid1,75.0,complete
cluster2-medoid0,cluster0-medoid1,34.97576154602031,average
cluster2-medoid0,cluster0-medoid1,23.0,centroid
cluster2-medoid0,cluster0-medoid1,29.32,average_centroid
cluster2-medoid0,cluster0-medoid2,0.0,single
cluster2-medoid0,cluster0-medoid2,66.0,complete
cluster2-medoid0,cluster0-medoid2,24.935281845568927,average
cluster2-medoid0,cluster0-medoid2,12.0,centroid
cluster2-medoid0,cluster0-medoid2,19.61655662772981,average_centroid
cluster2-medoid0,cluster2-medoid1,1.0,single
cluster2-medoid0,cluster2-medoid1,66.0,complete
cluster2-medoid0,cluster2-medoid1,25.717221545974187,average
cluster2-medoid0,cluster2-medoid1,13.0,centroid
cluster2-medoid0,cluster2-medoid1,20.40779220779221,average_centroid
cluster2-medoid0,cluster2-medoid2,5.0,single
cluster2-medoid0,cluster2-medoid2,70.0,complete
cluster2-medoid0,cluster2-medoid2,35.24411989935456,average
cluster2-medoid0,cluster2-medoid2,26.0,centroid
cluster2-medoid0,cluster2-medoid2,30.324324324324323,average_centroid
cluster2-medoid1,cluster1-medoid0,0.0,single
cluster2-medoid1,cluster1-medoid0,62.0,complete
cluster2-medoid1,cluster1-medoid0,23.279923267017843,average
cluster2-medoid1,cluster1-medoid0,10.0,centroid
cluster2-medoid1,cluster1-medoid0,18.515390121689336,average_centroid
cluster2-medoid1,cluster1-medoid1,7.0,single
cluster2-medoid1,cluster1-medoid1,73.0,complete
cluster2-medoid1,cluster1-medoid1,26.490569064876656,average
cluster2-medoid1,cluster1-medoid1,14.0,centroid
cluster2-medoid1,cluster1-medoid1,21.2015503875969,average_centroid
cluster2-medoid1,cluster1-medoid2,0.0,single
cluster2-medoid1,cluster1-medoid2,55.0,complete
cluster2-medoid1,cluster1-medoid2,17.35758702898562,average
cluster2-medoid1,cluster1-medoid2,1.0,centroid
cluster2-medoid1,cluster1-medoid2,11.374727668845315,average_centroid
cluster2-medoid1,cluster0-medoid0,4.0,single
cluster2-medoid1,cluster0-medoid0,77.0,complete
cluster2-medoid1,cluster0-medoid0,26.77130765297166,average
cluster2-medoid1,cluster0-medoid0,14.0,centroid
cluster2-medoid1,cluster0-medoid0,21.602150537634408,average_centroid
cluster2-medoid1,cluster0-medoid1,0.0,single
cluster2-medoid1,cluster0-medoid1,64.0,complete
cluster2-medoid1,cluster0-medoid1,23.67882975120995,average
cluster2-medoid1,cluster0-medoid1,10.0,centroid
cluster2-medoid1,cluster0-medoid1,18.93703913783324,average_centroid
cluster2-medoid1,cluster0-medoid2,0.0,single
cluster2-medoid1,cluster0-medoid2,55.0,complete
cluster2-medoid1,cluster0-medoid2,17.490127153362938,average
cluster2-medoid1,cluster0-medoid2,1.0,centroid
