cluster_x,cluster_y,similarity,similarity_type
cluster2-medoid0,cluster2-medoid1,0.0,single
cluster2-medoid0,cluster2-medoid1,19.0,complete
cluster2-medoid0,cluster2-medoid1,7.2317305378931085,average
cluster2-medoid0,cluster2-medoid1,3.0,centroid
cluster2-medoid0,cluster2-medoid1,5.35024154589372,average_centroid
cluster2-medoid0,cluster2-medoid2,0.0,single
cluster2-medoid0,cluster2-medoid2,18.0,complete
cluster2-medoid0,cluster2-medoid2,6.841343491627046,average
cluster2-medoid0,cluster2-medoid2,2.0,centroid
cluster2-medoid0,cluster2-medoid2,4.782608695652174,average_centroid
cluster2-medoid0,cluster2-medoid3,1.0,single
cluster2-medoid0,cluster2-medoid3,17.0,complete
cluster2-medoid0,cluster2-medoid3,7.513658061716376,average
cluster2-medoid0,cluster2-medoid3,4.0,centroid
cluster2-medoid0,cluster2-medoid3,5.8915254237288135,average_centroid
cluster2-medoid0,cluster2-medoid4,0.0,single
cluster2-medoid0,cluster2-medoid4,16.0,complete
cluster2-medoid0,cluster2-medoid4,5.937406296851575,average
cluster2-medoid0,cluster2-medoid4,3.0,centroid
cluster2-medoid0,cluster2-medoid4,4.587628865979381,average_centroid
cluster2-medoid0,cluster2-medoid5,1.0,single
cluster2-medoid0,cluster2-medoid5,18.0,complete
cluster2-medoid0,cluster2-medoid5,7.709096897832076,average
cluster2-medoid0,cluster2-medoid5,5.0,centroid
cluster2-medoid0,cluster2-medoid5,6.420779220779221,average_centroid
cluster2-medoid0,cluster2-medoid6,1.0,single
cluster2-medoid0,cluster2-medoid6,16.0,complete
cluster2-medoid0,cluster2-medoid6,7.048368727808669,average
cluster2-medoid0,cluster2-medoid6,3.0,centroid
cluster2-medoid0,cluster2-medoid6,5.0200729927007295,average_centroid
cluster2-medoid0,cluster2-medoid7,5.0,single
cluster2-medoid0,cluster2-medoid7,21.0,complete
cluster2-medoid0,cluster2-medoid7,11.882495164410058,average
cluster2-medoid0,cluster2-medoid7,9.0,centroid
cluster2-medoid0,cluster2-medoid7,10.616780045351474,average_centroid
cluster2-medoid0,cluster2-medoid8,0.0,single
cluster2-medoid0,cluster2-medoid8,20.0,complete
cluster2-medoid0,cluster2-medoid8,7.325842696629214,average
cluster2-medoid0,cluster2-medoid8,4.0,centroid
cluster2-medoid0,cluster2-medoid8,5.724269377382465,average_centroid
cluster2-medoid0,cluster2-medoid9,1.0,single
cluster2-medoid0,cluster2-medoid9,20.0,complete
cluster2-medoid0,cluster2-medoid9,8.280248779353638,average
cluster2-medoid0,cluster2-medoid9,4.0,centroid
cluster2-medoid0,cluster2-medoid9,6.504215851602024,average_centroid
cluster2-medoid0,cluster2-medoid10,2.0,single
cluster2-medoid0,cluster2-medoid10,20.0,complete
cluster2-medoid0,cluster2-medoid10,9.573292899005043,average
cluster2-medoid0,cluster2-medoid10,8.0,centroid
cluster2-medoid0,cluster2-medoid10,8.88888888888889,average_centroid
cluster2-medoid0,cluster2-medoid11,3.0,single
cluster2-medoid0,cluster2-medoid11,18.0,complete
cluster2-medoid0,cluster2-medoid11,9.145951287255635,average
cluster2-medoid0,cluster2-medoid11,5.0,centroid
cluster2-medoid0,cluster2-medoid11,7.793017456359102,average_centroid
cluster2-medoid0,cluster2-medoid12,2.0,single
cluster2-medoid0,cluster2-medoid12,21.0,complete
cluster2-medoid0,cluster2-medoid12,9.061666923327003,average
cluster2-medoid0,cluster2-medoid12,6.0,centroid
cluster2-medoid0,cluster2-medoid12,7.597202797202797,average_centroid
cluster2-medoid0,cluster2-medoid13,0.0,single
cluster2-medoid0,cluster2-medoid13,18.0,complete
cluster2-medoid0,cluster2-medoid13,7.48083216456288,average
cluster2-medoid0,cluster2-medoid13,5.0,centroid
cluster2-medoid0,cluster2-medoid13,5.9232,average_centroid
cluster2-medoid0,cluster2-medoid14,1.0,single
cluster2-medoid0,cluster2-medoid14,20.0,complete
cluster2-medoid0,cluster2-medoid14,7.7724868345433435,average
cluster2-medoid0,cluster2-medoid14,3.0,centroid
cluster2-medoid0,cluster2-medoid14,5.932203389830509,average_centroid
cluster2-medoid0,cluster0-medoid0,6.0,single
cluster2-medoid0,cluster0-medoid0,21.0,complete
cluster2-medoid0,cluster0-medoid0,12.916243177112742,average
cluster2-medoid0,cluster0-medoid0,11.0,centroid
cluster2-medoid0,cluster0-medoid0,12.328813559322034,average_centroid
cluster2-medoid0,cluster0-medoid1,8.0,single
cluster2-medoid0,cluster0-medoid1,21.0,complete
cluster2-medoid0,cluster0-medoid1,13.533032185206098,average
cluster2-medoid0,cluster0-medoid1,11.0,centroid
cluster2-medoid0,cluster0-medoid1,12.443708609271523,average_centroid
cluster2-medoid0,cluster0-medoid2,10.0,single
cluster2-medoid0,cluster0-medoid2,24.0,complete
cluster2-medoid0,cluster0-medoid2,16.125,average
cluster2-medoid0,cluster0-medoid2,13.0,centroid
cluster2-medoid0,cluster0-medoid2,14.58703071672355,average_centroid
cluster2-medoid0,cluster0-medoid3,5.0,single
cluster2-medoid0,cluster0-medoid3,19.0,complete
cluster2-medoid0,cluster0-medoid3,9.972049689440993,average
cluster2-medoid0,cluster0-medoid3,8.0,centroid
cluster2-medoid0,cluster0-medoid3,9.134831460674157,average_centroid
cluster2-medoid0,cluster0-medoid4,8.0,single
cluster2-medoid0,cluster0-medoid4,21.0,complete
cluster2-medoid0,cluster0-medoid4,13.073939393939394,average
cluster2-medoid0,cluster0-medoid4,10.0,centroid
cluster2-medoid0,cluster0-medoid4,11.615853658536585,average_centroid
cluster2-medoid0,cluster0-medoid5,7.0,single
cluster2-medoid0,cluster0-medoid5,22.0,complete
cluster2-medoid0,cluster0-medoid5,12.625438557534308,average
cluster2-medoid0,cluster0-medoid5,10.0,centroid
cluster2-medoid0,cluster0-medoid5,11.491228070175438,average_centroid
cluster2-medoid0,cluster0-medoid6,1.0,single
cluster2-medoid0,cluster0-medoid6,22.0,complete
cluster2-medoid0,cluster0-medoid6,8.0340306565121,average
cluster2-medoid0,cluster0-medoid6,3.0,centroid
cluster2-medoid0,cluster0-medoid6,5.595238095238095,average_centroid
cluster2-medoid0,cluster0-medoid7,7.0,single
cluster2-medoid0,cluster0-medoid7,23.0,complete
cluster2-medoid0,cluster0-medoid7,13.287717757282975,average
cluster2-medoid0,cluster0-medoid7,11.0,centroid
cluster2-medoid0,cluster0-medoid7,12.353092783505154,average_centroid
cluster2-medoid0,cluster0-medoid8,8.0,single
cluster2-medoid0,cluster0-medoid8,23.0,complete
cluster2-medoid0,cluster0-medoid8,14.110616266770585,average
cluster2-medoid0,cluster0-medoid8,13.0,centroid
cluster2-medoid0,cluster0-medoid8,13.462962962962964,average_centroid
cluster2-medoid0,cluster0-medoid9,4.0,single
cluster2-medoid0,cluster0-medoid9,20.0,complete
cluster2-medoid0,cluster0-medoid9,12.328221343873517,average
cluster2-medoid0,cluster0-medoid9,10.0,centroid
cluster2-medoid0,cluster0-medoid9,10.900990099009901,average_centroid
cluster2-medoid0,cluster1-medoid0,3.0,single
cluster2-medoid0,cluster1-medoid0,17.0,complete
cluster2-medoid0,cluster1-medoid0,8.734017872486682,average
cluster2-medoid0,cluster1-medoid0,5.0,centroid
cluster2-medoid0,cluster1-medoid0,7.078260869565217,average_centroid
cluster2-medoid0,cluster1-medoid1,2.0,single
cluster2-medoid0,cluster1-medoid1,19.0,complete
cluster2-medoid0,cluster1-medoid1,9.78511032170911,average
cluster2-medoid0,cluster1-medoid1,7.0,centroid
cluster2-medoid0,cluster1-medoid1,8.367469879518072,average_centroid
cluster2-medoid0,cluster1-medoid2,2.0,single
cluster2-medoid0,cluster1-medoid2,18.0,complete
cluster2-medoid0,cluster1-medoid2,8.129038208168643,average
cluster2-medoid0,cluster1-medoid2,4.0,centroid
cluster2-medoid0,cluster1-medoid2,6.332506203473946,average_centroid
cluster2-medoid0,cluster1-medoid3,3.0,single
cluster2-medoid0,cluster1-medoid3,17.0,complete
cluster2-medoid0,cluster1-medoid3,8.691578607727676,average
cluster2-medoid0,cluster1-medoid3,5.0,centroid
cluster2-medoid0,cluster1-medoid3,6.669515669515669,average_centroid
cluster2-medoid0,cluster1-medoid4,5.0,single
cluster2-medoid0,cluster1-medoid4,18.0,complete
cluster2-medoid0,cluster1-medoid4,11.736275801493193,average
cluster2-medoid0,cluster1-medoid4,9.0,centroid
cluster2-medoid0,cluster1-medoid4,10.409594095940959,average_centroid
cluster2-medoid0,cluster1-medoid5,5.0,single
cluster2-medoid0,cluster1-medoid5,20.0,complete
cluster2-medoid0,cluster1-medoid5,10.009592752142826,average
cluster2-medoid0,cluster1-medoid5,7.0,centroid
cluster2-medoid0,cluster1-medoid5,8.695906432748538,average_centroid
cluster2-medoid0,cluster1-medoid6,4.0,single
cluster2-medoid0,cluster1-medoid6,18.0,complete
cluster2-medoid0,cluster1-medoid6,9.29570576807128,average
cluster2-medoid0,cluster1-medoid6,6.0,centroid
cluster2-medoid0,cluster1-medoid6,7.705128205128205,average_centroid
cluster2-medoid0,cluster1-medoid7,2.0,single
cluster2-medoid0,cluster1-medoid7,21.0,complete
cluster2-medoid0,cluster1-medoid7,9.608242078662606,average
cluster2-medoid0,cluster1-medoid7,5.0,centroid
cluster2-medoid0,cluster1-medoid7,7.89171974522293,average_centroid
cluster2-medoid0,cluster1-medoid8,2.0,single
cluster2-medoid0,cluster1-medoid8,21.0,complete
cluster2-medoid0,cluster1-medoid8,9.003719257795344,average
cluster2-medoid0,cluster1-medoid8,6.0,centroid
cluster2-medoid0,cluster1-medoid8,7.650646950092422,average_centroid
cluster2-medoid0,cluster1-medoid9,4.0,single
cluster2-medoid0,cluster1-medoid9,20.0,complete
cluster2-medoid0,cluster1-medoid9,9.890213983917132,average
cluster2-medoid0,cluster1-medoid9,7.0,centroid
cluster2-medoid0,cluster1-medoid9,8.67524115755627,average_centroid
cluster2-medoid0,cluster1-medoid10,5.0,single
cluster2-medoid0,cluster1-medoid10,20.0,complete
cluster2-medoid0,cluster1-medoid10,11.892964426877471,average
cluster2-medoid0,cluster1-medoid10,11.0,centroid
cluster2-medoid0,cluster1-medoid10,11.701438848920864,average_centroid
cluster2-medoid0,cluster1-medoid11,2.0,single
cluster2-medoid0,cluster1-medoid11,18.0,complete
cluster2-medoid0,cluster1-medoid11,10.295834600182426,average
cluster2-medoid0,cluster1-medoid11,9.0,centroid
cluster2-medoid0,cluster1-medoid11,9.512544802867383,average_centroid
cluster2-medoid0,cluster1-medoid12,2.0,single
cluster2-medoid0,cluster1-medoid12,16.0,complete
cluster2-medoid0,cluster1-medoid12,7.790782716248555,average
cluster2-medoid0,cluster1-medoid12,4.0,centroid
cluster2-medoid0,cluster1-medoid12,5.8825,average_centroid
cluster2-medoid0,cluster1-medoid13,1.0,single
cluster2-medoid0,cluster1-medoid13,20.0,complete
cluster2-medoid0,cluster1-medoid13,8.00291149068323,average
cluster2-medoid0,cluster1-medoid13,3.0,centroid
cluster2-medoid0,cluster1-medoid13,6.327044025157233,average_centroid
cluster2-medoid0,cluster1-medoid14,3.0,single
cluster2-medoid0,cluster1-medoid14,19.0,complete
cluster2-medoid0,cluster1-medoid14,9.244920601900008,average
cluster2-medoid0,cluster1-medoid14,5.0,centroid
cluster2-medoid0,cluster1-medoid14,7.395095367847412,average_centroid
cluster2-medoid1,cluster2-medoid0,0.0,single
cluster2-medoid1,cluster2-medoid0,19.0,complete
cluster2-medoid1,cluster2-medoid0,7.2317305378931085,average
cluster2-medoid1,cluster2-medoid0,3.0,centroid
cluster2-medoid1,cluster2-medoid0,5.35024154589372,average_centroid
cluster2-medoid1,cluster2-medoid2,0.0,single
cluster2-medoid1,cluster2-medoid2,17.0,complete
cluster2-medoid1,cluster2-medoid2,5.5085906322201215,average
cluster2-medoid1,cluster2-medoid2,1.0,centroid
cluster2-medoid1,cluster2-medoid2,3.6649616368286444,average_centroid
cluster2-medoid1,cluster2-medoid3,1.0,single
cluster2-medoid1,cluster2-medoid3,17.0,complete
cluster2-medoid1,cluster2-medoid3,6.993012514514256,average
cluster2-medoid1,cluster2-medoid3,3.0,centroid
cluster2-medoid1,cluster2-medoid3,5.31469298245614,average_centroid
cluster2-medoid1,cluster2-medoid4,1.0,single
cluster2-medoid1,cluster2-medoid4,17.0,complete
cluster2-medoid1,cluster2-medoid4,7.0304122938530735,average
cluster2-medoid1,cluster2-medoid4,4.0,centroid
cluster2-medoid1,cluster2-medoid4,5.602230483271375,average_centroid
cluster2-medoid1,cluster2-medoid5,0.0,single
cluster2-medoid1,cluster2-medoid5,15.0,complete
cluster2-medoid1,cluster2-medoid5,5.4790777338603425,average
cluster2-medoid1,cluster2-medoid5,2.0,centroid
cluster2-medoid1,cluster2-medoid5,3.8797736916548797,average_centroid
cluster2-medoid1,cluster2-medoid6,0.0,single
cluster2-medoid1,cluster2-medoid6,17.0,complete
cluster2-medoid1,cluster2-medoid6,6.093311717022845,average
cluster2-medoid1,cluster2-medoid6,2.0,centroid
cluster2-medoid1,cluster2-medoid6,4.375862068965517,average_centroid
cluster2-medoid1,cluster2-medoid7,3.0,single
cluster2-medoid1,cluster2-medoid7,19.0,complete
cluster2-medoid1,cluster2-medoid7,9.576540240518039,average
cluster2-medoid1,cluster2-medoid7,6.0,centroid
cluster2-medoid1,cluster2-medoid7,8.124508519003932,average_centroid
cluster2-medoid1,cluster2-medoid8,0.0,single
cluster2-medoid1,cluster2-medoid8,19.0,complete
