cluster,similarity,similarity_type
cluster2-medoid0,15.0,complete
cluster2-medoid0,5.278436539306105,average
cluster2-medoid0,2.8531746031746033,medoid
cluster2-medoid1,17.0,complete
cluster2-medoid1,4.453167701863354,average
cluster2-medoid1,2.231707317073171,medoid
cluster2-medoid2,16.0,complete
cluster2-medoid2,4.858308709722809,average
cluster2-medoid2,2.325242718446602,medoid
cluster2-medoid3,14.0,complete
cluster2-medoid3,4.40961918892186,average
cluster2-medoid3,2.1904761904761907,medoid
cluster2-medoid4,13.0,complete
cluster2-medoid4,4.4087923570682195,average
cluster2-medoid4,2.1904761904761907,medoid
cluster2-medoid5,13.0,complete
cluster2-medoid5,4.325352764284062,average
cluster2-medoid5,2.0,medoid
cluster2-medoid6,14.0,complete
cluster2-medoid6,4.5090741381298285,average
cluster2-medoid6,2.2244897959183674,medoid
cluster2-medoid7,16.0,complete
cluster2-medoid7,4.539879394697918,average
cluster2-medoid7,2.4919786096256686,medoid
cluster2-medoid8,18.0,complete
cluster2-medoid8,4.423157732009472,average
cluster2-medoid8,2.0225140712945593,medoid
cluster2-medoid9,20.0,complete
cluster2-medoid9,5.1211348256116604,average
cluster2-medoid9,2.6430678466076696,medoid
cluster2-medoid10,13.0,complete
cluster2-medoid10,5.602998500749625,average
cluster2-medoid10,3.7217391304347824,medoid
cluster2-medoid11,14.0,complete
cluster2-medoid11,4.839952197095054,average
cluster2-medoid11,2.795918367346939,medoid
cluster2-medoid12,17.0,complete
cluster2-medoid12,5.458818116084927,average
cluster2-medoid12,2.698481561822126,medoid
cluster2-medoid13,16.0,complete
cluster2-medoid13,5.227429498884155,average
cluster2-medoid13,2.6495956873315363,medoid
cluster2-medoid14,19.0,complete
cluster2-medoid14,5.215875370919881,average
cluster2-medoid14,2.4375,medoid
cluster0-medoid0,10.0,complete
cluster0-medoid0,4.4332171893147505,average
cluster0-medoid0,2.097560975609756,medoid
cluster0-medoid1,12.0,complete
cluster0-medoid1,2.8741496598639458,average
cluster0-medoid1,1.6875,medoid
cluster0-medoid2,12.0,complete
cluster0-medoid2,5.323076923076923,average
cluster0-medoid2,3.230769230769231,medoid
cluster0-medoid3,12.0,complete
cluster0-medoid3,4.604395604395604,average
cluster0-medoid3,2.769230769230769,medoid
cluster0-medoid4,15.0,complete
cluster0-medoid4,4.282522522522522,average
cluster0-medoid4,2.324324324324324,medoid
cluster0-medoid5,15.0,complete
cluster0-medoid5,4.924923391215526,average
cluster0-medoid5,2.125,medoid
cluster0-medoid6,20.0,complete
cluster0-medoid6,7.237804878048781,average
cluster0-medoid6,4.65,medoid
cluster0-medoid7,11.0,complete
cluster0-medoid7,3.144499723604201,average
cluster0-medoid7,1.6119402985074627,medoid
cluster0-medoid8,10.0,complete
cluster0-medoid8,3.6362173038229377,average
cluster0-medoid8,2.2142857142857144,medoid
cluster0-medoid9,9.0,complete
cluster0-medoid9,3.1885714285714286,average
cluster0-medoid9,2.163265306122449,medoid
cluster1-medoid0,13.0,complete
cluster1-medoid0,5.188485427615863,average
cluster1-medoid0,2.4835164835164836,medoid
cluster1-medoid1,13.0,complete
cluster1-medoid1,5.021746186303148,average
cluster1-medoid1,2.358974358974359,medoid
cluster1-medoid2,14.0,complete
cluster1-medoid2,4.926979865771812,average
cluster1-medoid2,2.5838926174496644,medoid
cluster1-medoid3,15.0,complete
cluster1-medoid3,5.010309278350515,average
cluster1-medoid3,2.443298969072165,medoid
cluster1-medoid4,12.0,complete
cluster1-medoid4,5.503267973856209,average
cluster1-medoid4,4.0588235294117645,medoid
cluster1-medoid5,15.0,complete
cluster1-medoid5,4.1085291113381,average
cluster1-medoid5,2.272727272727273,medoid
cluster1-medoid6,12.0,complete
cluster1-medoid6,5.0444184687317355,average
cluster1-medoid6,2.5517241379310347,medoid
cluster1-medoid7,16.0,complete
cluster1-medoid7,5.103825136612022,average
cluster1-medoid7,2.3,medoid
cluster1-medoid8,18.0,complete
cluster1-medoid8,5.276567944250871,average
cluster1-medoid8,2.5226480836236935,medoid
cluster1-medoid9,14.0,complete
cluster1-medoid9,5.058076225045372,average
cluster1-medoid9,3.0350877192982457,medoid
cluster1-medoid10,10.0,complete
cluster1-medoid10,4.2,average
cluster1-medoid10,2.5,medoid
cluster1-medoid11,10.0,complete
cluster1-medoid11,5.095384615384615,average
cluster1-medoid11,3.28,medoid
cluster1-medoid12,14.0,complete
cluster1-medoid12,3.7377690802348336,average
cluster1-medoid12,1.821917808219178,medoid
cluster1-medoid13,18.0,complete
cluster1-medoid13,4.908392056374119,average
cluster1-medoid13,2.233183856502242,medoid
cluster1-medoid14,17.0,complete
cluster1-medoid14,5.626145008539047,average
cluster1-medoid14,2.743362831858407,medoid
