model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.8005826190545069,0.898535070456008,0.846735413866745,145802,227,1.0,1
cluster0-medoid0,0.8458240559281305,0.8755540388789467,0.8604323136014407,82113,52,1.0,1
cluster0-medoid1,0.9273071383833947,0.616326530612245,0.7404917408722588,334,46,1.0,1
cluster0-medoid2,0.9877630334719496,0.75103102595013,0.8532818253020894,1559,40,1.0,1
cluster0-medoid3,0.8659033620467562,0.4840290687848572,0.6209531505676502,273,39,1.0,1
cluster3-medoid0,0.9958874410788611,0.459626293258824,0.6289683734992442,23496,40,1.0,1
cluster3-medoid1,0.9353005654371332,0.5717430458274966,0.7096697003990103,201,37,1.0,1
cluster3-medoid2,0.9999212850590562,0.5984331313246001,0.7487526165190352,7047,23,1.0,1
cluster3-medoid3,0.9999492671001499,0.9686507485147822,0.9840512022456789,26484,14,1.0,1
cluster2-medoid0,0.9519529120648313,0.7404305855842139,0.8329732038960459,2886,30,1.0,1
cluster2-medoid1,0.9979687725811835,0.5399605868184805,0.7007653515110758,416,15,1.0,1
cluster2-medoid2,0.9999354565991082,0.6456692913385826,0.7846691235617584,14,7,1.0,1
cluster2-medoid3,0.9432915598600712,0.37187386734324035,0.5334469309208422,68,21,1.0,1
cluster1-medoid0,0.99995000103844,0.8928571428571429,0.9433739763784734,9,7,1.0,1
cluster1-medoid1,0.9851195899350385,0.8636363636363636,0.9203865970031437,6,6,1.0,1
cluster1-medoid2,0.9312775619251636,0.6944444444444444,0.7956102292776185,887,22,1.0,1
cluster1-medoid3,0.9815884452171737,0.9145299145299145,0.9468733766469634,9,7,1.0,1
