cluster_x,cluster_y,similarity,similarity_type
cluster0-medoid0,cluster0-medoid1,1.0,single
cluster0-medoid0,cluster0-medoid1,14.0,complete
cluster0-medoid0,cluster0-medoid1,6.452341137123746,average
cluster0-medoid0,cluster0-medoid1,5.0,centroid
cluster0-medoid0,cluster0-medoid1,5.785714285714286,average_centroid
cluster0-medoid0,cluster0-medoid2,1.0,single
cluster0-medoid0,cluster0-medoid2,15.0,complete
cluster0-medoid0,cluster0-medoid2,5.124038461538461,average
cluster0-medoid0,cluster0-medoid2,3.0,centroid
cluster0-medoid0,cluster0-medoid2,4.228260869565218,average_centroid
cluster0-medoid0,cluster0-medoid3,2.0,single
cluster0-medoid0,cluster0-medoid3,14.0,complete
cluster0-medoid0,cluster0-medoid3,7.086785009861933,average
cluster0-medoid0,cluster0-medoid3,6.0,centroid
cluster0-medoid0,cluster0-medoid3,6.813186813186813,average_centroid
cluster0-medoid0,cluster3-medoid0,0.0,single
cluster0-medoid0,cluster3-medoid0,14.0,complete
cluster0-medoid0,cluster3-medoid0,5.596153846153846,average
cluster0-medoid0,cluster3-medoid0,4.0,centroid
cluster0-medoid0,cluster3-medoid0,4.934782608695652,average_centroid
cluster0-medoid0,cluster3-medoid1,2.0,single
cluster0-medoid0,cluster3-medoid1,14.0,complete
cluster0-medoid0,cluster3-medoid1,6.550935550935551,average
cluster0-medoid0,cluster3-medoid1,5.0,centroid
cluster0-medoid0,cluster3-medoid1,6.0,average_centroid
cluster0-medoid0,cluster3-medoid2,0.0,single
cluster0-medoid0,cluster3-medoid2,10.0,complete
cluster0-medoid0,cluster3-medoid2,3.1438127090301005,average
cluster0-medoid0,cluster3-medoid2,0.0,centroid
cluster0-medoid0,cluster3-medoid2,2.0533333333333332,average_centroid
cluster0-medoid0,cluster3-medoid3,0.0,single
cluster0-medoid0,cluster3-medoid3,12.0,complete
cluster0-medoid0,cluster3-medoid3,4.626373626373627,average
cluster0-medoid0,cluster3-medoid3,3.0,centroid
cluster0-medoid0,cluster3-medoid3,3.803030303030303,average_centroid
cluster0-medoid0,cluster2-medoid0,0.0,single
cluster0-medoid0,cluster2-medoid0,11.0,complete
