model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9998584231970054,0.694719528459087,0.81981613369916,145802,227,1.0,1
cluster0-medoid0,0.9998222810892016,0.55414675387636,0.7130750472529425,82113,52,1.0,1
cluster0-medoid1,0.9999517626586203,0.3487442009278515,0.5171326790471535,334,46,1.0,1
cluster0-medoid2,0.999954801225999,0.5293608558749332,0.6922533316852169,1559,40,1.0,1
cluster0-medoid3,0.999932455300235,0.2990373044524669,0.4603911735781225,273,39,1.0,1
cluster3-medoid0,0.9999243196660798,0.46414817943659825,0.634002828182132,23496,40,1.0,1
cluster3-medoid1,0.9999635731221651,0.4987945692171044,0.6655862418332207,201,37,1.0,1
cluster3-medoid2,0.9999403145321265,0.575647116644823,0.7306643192086885,7047,23,1.0,1
cluster3-medoid3,0.9999492671001499,0.9686507485147822,0.9840512022456789,26484,14,1.0,1
cluster2-medoid0,0.999851379179032,0.4547592612490001,0.625173035198551,2886,30,1.0,1
cluster2-medoid1,0.9999408460793894,0.41920951976200593,0.5907544851694777,416,15,1.0,1
cluster2-medoid2,0.9999354565991082,0.6456692913385826,0.7846691235617584,14,7,1.0,1
cluster2-medoid3,0.999982743387266,0.4261074088592709,0.5975780072774397,68,21,1.0,1
cluster1-medoid0,0.99995000103844,0.8928571428571429,0.9433739763784734,9,7,1.0,1
cluster1-medoid1,0.9999248086496408,0.8740157480314961,0.93274039722475,6,6,1.0,1
cluster1-medoid2,0.9998771044759296,0.4165536394755538,0.5881013931338296,887,22,1.0,1
cluster1-medoid3,0.9999917241892982,0.9145299145299145,0.9553533661445195,9,7,1.0,1
