cluster_x,cluster_y,similarity,similarity_type
cluster3-medoid0,cluster3-medoid1,1.0,single
cluster3-medoid0,cluster3-medoid1,305.0,complete
cluster3-medoid0,cluster3-medoid1,40.44107159107802,average
cluster3-medoid0,cluster3-medoid1,27.0,centroid
cluster3-medoid0,cluster3-medoid1,32.63045112781955,average_centroid
cluster3-medoid0,cluster3-medoid2,15.0,single
cluster3-medoid0,cluster3-medoid2,386.0,complete
cluster3-medoid0,cluster3-medoid2,141.20560794387802,average
cluster3-medoid0,cluster3-medoid2,119.0,centroid
cluster3-medoid0,cluster3-medoid2,122.40100364963503,average_centroid
cluster3-medoid0,cluster3-medoid3,109.0,single
cluster3-medoid0,cluster3-medoid3,855.0,complete
cluster3-medoid0,cluster3-medoid3,268.7743470582099,average
cluster3-medoid0,cluster3-medoid3,265.0,centroid
cluster3-medoid0,cluster3-medoid3,265.15,average_centroid
cluster3-medoid0,cluster0-medoid0,10.0,single
cluster3-medoid0,cluster0-medoid0,239.0,complete
cluster3-medoid0,cluster0-medoid0,41.2452603194358,average
cluster3-medoid0,cluster0-medoid0,28.0,centroid
cluster3-medoid0,cluster0-medoid0,33.85765464533078,average_centroid
cluster3-medoid0,cluster0-medoid1,9.0,single
cluster3-medoid0,cluster0-medoid1,244.0,complete
cluster3-medoid0,cluster0-medoid1,42.97333124905431,average
cluster3-medoid0,cluster0-medoid1,30.0,centroid
cluster3-medoid0,cluster0-medoid1,36.30720461095101,average_centroid
cluster3-medoid0,cluster0-medoid2,1.0,single
cluster3-medoid0,cluster0-medoid2,214.0,complete
cluster3-medoid0,cluster0-medoid2,74.60007160453836,average
cluster3-medoid0,cluster0-medoid2,61.0,centroid
cluster3-medoid0,cluster0-medoid2,66.2375,average_centroid
cluster3-medoid0,cluster0-medoid3,34.0,single
cluster3-medoid0,cluster0-medoid3,977.0,complete
cluster3-medoid0,cluster0-medoid3,281.58788060854454,average
cluster3-medoid0,cluster0-medoid3,168.0,centroid
cluster3-medoid0,cluster0-medoid3,161.7255501222494,average_centroid
cluster3-medoid0,cluster0-medoid4,9.0,single
cluster3-medoid0,cluster0-medoid4,251.0,complete
cluster3-medoid0,cluster0-medoid4,40.082911088095415,average
cluster3-medoid0,cluster0-medoid4,27.0,centroid
cluster3-medoid0,cluster0-medoid4,33.05646929824562,average_centroid
cluster3-medoid0,cluster2-medoid0,571.0,single
cluster3-medoid0,cluster2-medoid0,732.0,complete
cluster3-medoid0,cluster2-medoid0,707.2806471686372,average
cluster3-medoid0,cluster2-medoid0,719.0,centroid
cluster3-medoid0,cluster2-medoid0,707.2879353233831,average_centroid
cluster3-medoid0,cluster2-medoid1,345.0,single
cluster3-medoid0,cluster2-medoid1,451.0,complete
cluster3-medoid0,cluster2-medoid1,426.93403858120723,average
cluster3-medoid0,cluster2-medoid1,438.0,centroid
cluster3-medoid0,cluster2-medoid1,426.94092039800995,average_centroid
cluster3-medoid0,cluster2-medoid2,58.0,single
cluster3-medoid0,cluster2-medoid2,253.0,complete
cluster3-medoid0,cluster2-medoid2,145.35998755444928,average
cluster3-medoid0,cluster2-medoid2,119.0,centroid
