cluster,similarity,similarity_type
cluster3-medoid0,209.0,complete
cluster3-medoid0,28.610618550070093,average
cluster3-medoid0,19.473225404732254,medoid
cluster3-medoid1,220.0,complete
cluster3-medoid1,13.705861192501649,average
cluster3-medoid1,8.050377155172415,medoid
cluster3-medoid2,398.0,complete
cluster3-medoid2,97.07672403699802,average
cluster3-medoid2,75.33047945205479,medoid
cluster3-medoid3,809.0,complete
cluster3-medoid3,86.0928888291437,average
cluster3-medoid3,60.343023255813954,medoid
cluster0-medoid0,58.0,complete
cluster0-medoid0,8.169248040974958,average
cluster0-medoid0,4.505234587049244,medoid
cluster0-medoid1,180.0,complete
cluster0-medoid1,10.572255921607562,average
cluster0-medoid1,6.283029001074114,medoid
cluster0-medoid2,163.0,complete
cluster0-medoid2,60.522450532724505,average
cluster0-medoid2,44.625,medoid
cluster0-medoid3,863.0,complete
cluster0-medoid3,281.9975369458128,average
cluster0-medoid3,196.5,medoid
cluster0-medoid4,84.0,complete
cluster0-medoid4,7.96554072878539,average
cluster0-medoid4,4.616666666666666,medoid
cluster2-medoid0,0.0,complete
cluster2-medoid0,,average
cluster2-medoid0,,medoid
cluster2-medoid1,0.0,complete
cluster2-medoid1,,average
cluster2-medoid1,,medoid
cluster2-medoid2,213.0,complete
cluster2-medoid2,141.0,average
cluster2-medoid2,112.42857142857143,medoid
cluster2-medoid3,0.0,complete
cluster2-medoid3,,average
cluster2-medoid3,,medoid
cluster2-medoid4,78.0,complete
cluster2-medoid4,44.888888888888886,average
cluster2-medoid4,32.75,medoid
cluster1-medoid0,69.0,complete
cluster1-medoid0,8.053781512605042,average
cluster1-medoid0,4.705882352941177,medoid
cluster1-medoid1,14.0,complete
cluster1-medoid1,4.32628973919665,average
cluster1-medoid1,2.656862745098039,medoid
cluster1-medoid2,13.0,complete
cluster1-medoid2,4.104702075004759,average
cluster1-medoid2,2.4705882352941178,medoid
cluster1-medoid3,11.0,complete
cluster1-medoid3,3.7363945578231292,average
cluster1-medoid3,2.3541666666666665,medoid
cluster1-medoid4,20.0,complete
cluster1-medoid4,6.177700348432055,average
cluster1-medoid4,3.682926829268293,medoid
