cluster,similarity,similarity_type
cluster2-medoid0,10.0,complete
cluster2-medoid0,4.0091795754446355,average
cluster2-medoid0,2.5542168674698793,medoid
cluster2-medoid1,8.0,complete
cluster2-medoid1,3.3495767558911003,average
cluster2-medoid1,2.182795698924731,medoid
cluster0-medoid0,14.0,complete
cluster0-medoid0,4.425320056899004,average
cluster0-medoid0,2.8378378378378377,medoid
cluster0-medoid1,10.0,complete
cluster0-medoid1,3.2233285917496444,average
cluster0-medoid1,1.8918918918918919,medoid
cluster1-medoid0,14.0,complete
cluster1-medoid0,5.216450216450217,average
cluster1-medoid0,3.761904761904762,medoid
cluster1-medoid1,7.0,complete
cluster1-medoid1,3.437179487179487,average
cluster1-medoid1,2.230769230769231,medoid
cluster1-medoid2,9.0,complete
cluster1-medoid2,3.3384353741496597,average
cluster1-medoid2,2.0416666666666665,medoid
