cluster,similarity,similarity_type
cluster2-medoid0,18.0,complete
cluster2-medoid0,5.080538356721092,average
cluster2-medoid0,2.690677966101695,medoid
cluster2-medoid1,16.0,complete
cluster2-medoid1,5.221964432051596,average
cluster2-medoid1,2.556581986143187,medoid
cluster2-medoid2,15.0,complete
cluster2-medoid2,4.5714963726354325,average
cluster2-medoid2,2.2857142857142856,medoid
cluster2-medoid3,19.0,complete
cluster2-medoid3,5.5878393596005225,average
cluster2-medoid3,2.8563734290843805,medoid
cluster2-medoid4,16.0,complete
cluster2-medoid4,4.621411685241473,average
cluster2-medoid4,2.547872340425532,medoid
cluster2-medoid5,16.0,complete
cluster2-medoid5,5.204711321195751,average
cluster2-medoid5,2.472924187725632,medoid
cluster2-medoid6,20.0,complete
cluster2-medoid6,5.615606953258393,average
cluster2-medoid6,2.7669082125603865,medoid
cluster2-medoid7,14.0,complete
cluster2-medoid7,5.026258116883117,average
cluster2-medoid7,2.8385416666666665,medoid
cluster2-medoid8,18.0,complete
cluster2-medoid8,4.836074256850155,average
cluster2-medoid8,2.327459618208517,medoid
cluster2-medoid9,13.0,complete
cluster2-medoid9,5.607422969187675,average
cluster2-medoid9,3.7563025210084033,medoid
cluster0-medoid0,12.0,complete
cluster0-medoid0,3.445490196078431,average
cluster0-medoid0,2.3,medoid
cluster0-medoid1,20.0,complete
cluster0-medoid1,7.217142857142857,average
cluster0-medoid1,4.6938775510204085,medoid
cluster0-medoid2,13.0,complete
cluster0-medoid2,4.182681082178569,average
cluster0-medoid2,2.0757575757575757,medoid
cluster0-medoid3,16.0,complete
cluster0-medoid3,5.879160419790105,average
cluster0-medoid3,3.5478260869565217,medoid
cluster0-medoid4,15.0,complete
cluster0-medoid4,5.035143414090783,average
cluster0-medoid4,2.6560846560846563,medoid
cluster1-medoid0,14.0,complete
cluster1-medoid0,4.872451790633609,average
cluster1-medoid0,2.566666666666667,medoid
cluster1-medoid1,17.0,complete
cluster1-medoid1,4.569681106778484,average
cluster1-medoid1,2.0362694300518136,medoid
cluster1-medoid2,18.0,complete
cluster1-medoid2,5.462238927422792,average
cluster1-medoid2,2.7302798982188294,medoid
cluster1-medoid3,12.0,complete
cluster1-medoid3,5.070564516129032,average
cluster1-medoid3,3.032258064516129,medoid
cluster1-medoid4,14.0,complete
cluster1-medoid4,5.203067160232681,average
cluster1-medoid4,3.1311475409836067,medoid
cluster1-medoid5,16.0,complete
cluster1-medoid5,7.696428571428571,average
cluster1-medoid5,5.333333333333333,medoid
cluster1-medoid6,15.0,complete
cluster1-medoid6,4.987019997546313,average
cluster1-medoid6,2.354385964912281,medoid
cluster1-medoid7,17.0,complete
cluster1-medoid7,5.336957880264967,average
cluster1-medoid7,2.634920634920635,medoid
cluster1-medoid8,17.0,complete
cluster1-medoid8,6.166933518969718,average
cluster1-medoid8,2.8816568047337277,medoid
cluster1-medoid9,15.0,complete
cluster1-medoid9,4.309022907900888,average
cluster1-medoid9,2.3260869565217392,medoid
