model_clstr,fitness,precision,num_traces,num_variants,perc_variants,coverage
complete,0.99975262070417,0.2821232950468023,250418,10662,1.0,1.0
cluster0-medoid0,0.9997374104130862,0.2555628085001621,80450,3366,1.0,1.0
cluster0-medoid1,0.9997342407787236,0.1463287674969426,1430,1288,1.0,1.0
cluster3-medoid0,0.9997391339728634,0.2739778386047586,5291,630,1.0,1.0
cluster3-medoid1,0.9997793432901552,0.1025195953459358,630,505,1.0,1.0
cluster3-medoid2,0.9997019380543338,0.2303988950560827,19965,920,1.0,1.0
cluster3-medoid3,0.9997773282560486,0.151473831287982,525,344,1.0,1.0
cluster1-medoid0,0.9997569393596196,0.0800911606706821,55,44,1.0,1.0
cluster1-medoid1,0.999727478648012,0.2121436678642115,793,216,1.0,1.0
cluster4-medoid0,0.9997807717458016,0.2017970811985716,1468,720,1.0,1.0
cluster4-medoid1,0.9996323393843192,0.3282556242471159,20816,416,1.0,1.0
cluster4-medoid2,0.9997755705567324,0.3888947167793964,62093,1216,1.0,1.0
cluster4-medoid3,0.9997058090526812,0.1951172727633511,1547,769,1.0,1.0
cluster4-medoid4,0.9996841931960068,0.2878424254511024,28610,720,1.0,1.0
cluster2-medoid0,0.999690549346684,0.3169061185974045,25326,1181,1.0,1.0
cluster2-medoid1,0.9997121449924246,0.2023875484813379,80,48,1.0,1.0
cluster2-medoid2,0.9997765353110208,0.1668282541554638,1339,690,1.0,1.0
complete,0.9997446733425002,0.3390495807166149,225398,205,0.0192271618833239,0.9
cluster0-medoid0,0.9997421601548324,0.3321621555709622,72429,112,0.0332739156268568,0.9
cluster0-medoid1,0.9998065235413252,0.1731776897099415,1287,1145,0.8889751552795031,0.9
cluster3-medoid0,0.999789983409338,0.267946982025068,4763,144,0.2285714285714285,0.9
cluster3-medoid1,0.9997783923069448,0.1008700625407097,567,442,0.8752475247524752,0.9
cluster3-medoid2,0.9997087880652092,0.3690129910041542,17985,67,0.0728260869565217,0.9
cluster3-medoid3,0.999776954622124,0.1430031610228842,473,292,0.8488372093023255,0.9
cluster1-medoid0,0.9997585909236396,0.0837277728028655,50,39,0.8863636363636364,0.9
cluster1-medoid1,0.9997385168560262,0.1925403862427848,714,137,0.6342592592592593,0.9
cluster4-medoid0,0.9997810566533872,0.1900700605548514,1322,574,0.7972222222222223,0.9
cluster4-medoid1,0.9998367777612028,0.8149276327741779,18810,22,0.0528846153846153,0.9
cluster4-medoid2,0.9999617656909212,0.9033986266355676,56062,18,0.0148026315789473,0.9
cluster4-medoid3,0.9997479157292828,0.1873830869082962,1393,615,0.7997399219765929,0.9
cluster4-medoid4,0.999952547839992,0.6639200295910985,25880,26,0.0361111111111111,0.9
cluster2-medoid0,0.9998096146680636,0.3412181817799929,22800,109,0.0922946655376799,0.9
cluster2-medoid1,0.9997980877584292,0.2345401691331924,72,40,0.8333333333333334,0.9
cluster2-medoid2,0.9996032781563158,0.1648745247437129,1206,557,0.8072463768115942,0.9
complete,0.9998209291119636,0.3733638240539464,200335,43,0.0040330144438191,0.8
cluster0-medoid0,0.9998905778136256,0.4638151673376752,64605,24,0.0071301247771836,0.8
cluster0-medoid1,0.9998060175399424,0.1724882349853921,1144,1002,0.7779503105590062,0.8
cluster3-medoid0,0.9999401919651658,0.4408740359897172,4236,43,0.0682539682539682,0.8
cluster3-medoid1,0.9997780303473084,0.1016039060424757,504,379,0.7504950495049505,0.8
