,model_clstr,fitness,precision
0,cluster0-medoid0,0.9997374104130862,0.2555628085001621
1,cluster0-medoid1,0.9997342407787235,0.14632876749694268
2,cluster3-medoid0,0.9997391339728634,0.27397783860475866
3,cluster3-medoid1,0.9997793432901552,0.1025195953459358
4,cluster3-medoid2,0.9997019380543338,0.2303988950560827
5,cluster3-medoid3,0.9997773282560486,0.15147383128798209
6,cluster1-medoid0,0.9997569393596197,0.08009116067068212
7,cluster1-medoid1,0.9997274786480121,0.21214366786421157
8,cluster4-medoid0,0.9997807717458016,0.20179708119857165
9,cluster4-medoid1,0.9996323393843192,0.32825562424711596
10,cluster4-medoid2,0.9997755705567323,0.38889471677939647
11,cluster4-medoid3,0.9997058090526811,0.1951172727633511
12,cluster4-medoid4,0.9996841931960067,0.2878424254511024
13,cluster2-medoid0,0.9996905493466839,0.3169061185974045
14,cluster2-medoid1,0.9997121449924246,0.2023875484813379
15,cluster2-medoid2,0.9997765353110207,0.16682825415546387
