,model_clstr,fitness,precision
0,cluster0-medoid0,0.9997421601548325,0.3321621555709622
1,cluster0-medoid1,0.9998065235413252,0.17317768970994152
2,cluster3-medoid0,0.9997899834093379,0.26794698202506806
3,cluster3-medoid1,0.9997783923069449,0.10087006254070974
4,cluster3-medoid2,0.9997087880652092,0.3690129910041542
5,cluster3-medoid3,0.9997769546221241,0.14300316102288424
6,cluster1-medoid0,0.9997585909236395,0.08372777280286559
7,cluster1-medoid1,0.9997385168560262,0.1925403862427848
8,cluster4-medoid0,0.9997810566533872,0.19007006055485143
9,cluster4-medoid1,0.9998367777612028,0.8149276327741779
10,cluster4-medoid2,0.9999617656909211,0.9033986266355677
11,cluster4-medoid3,0.9997479157292827,0.1873830869082962
12,cluster4-medoid4,0.999952547839992,0.6639200295910985
13,cluster2-medoid0,0.9998096146680637,0.34121818177999297
14,cluster2-medoid1,0.9997980877584293,0.23454016913319242
15,cluster2-medoid2,0.9996032781563158,0.1648745247437129
