,model_clstr,fitness,precision
0,cluster0-medoid0,0.9999609779975052,0.9014621313417909
1,cluster0-medoid1,0.9998089739361719,0.21939949536388703
2,cluster3-medoid0,0.999958419757551,0.9070579251663575
3,cluster3-medoid1,0.999790334771957,0.14510053583744498
4,cluster3-medoid2,0.9999385373223271,0.9520377658557208
5,cluster3-medoid3,0.9997757739028883,0.1579946468232123
6,cluster1-medoid0,0.9998396543634426,0.15242332006555837
7,cluster1-medoid1,0.9999180258308363,0.874512099921936
8,cluster4-medoid0,0.9998538111094492,0.3676555830742477
9,cluster4-medoid1,0.9999799386086552,0.9604949845317334
10,cluster4-medoid2,0.9999826585355444,0.9696052086257838
11,cluster4-medoid3,0.9998482644357747,0.24840252991527167
12,cluster4-medoid4,0.9999609655395495,0.9722321254010787
13,cluster2-medoid0,0.999889477708785,0.6228627768470498
14,cluster2-medoid1,0.9998041147410918,0.29295091324200917
15,cluster2-medoid2,0.9996997129063133,0.17633150821304133
