cluster,similarity,similarity_type
cluster0-medoid0,76.0,complete
cluster0-medoid0,12.139145144302036,average
cluster0-medoid0,7.179494799405647,medoid
cluster0-medoid1,52.0,complete
cluster0-medoid1,18.15160202116724,average
cluster0-medoid1,13.024864024864025,medoid
cluster3-medoid0,42.0,complete
cluster3-medoid0,5.797330103212456,average
cluster3-medoid0,3.1717011128775834,medoid
cluster3-medoid1,60.0,complete
cluster3-medoid1,11.782838283828383,average
cluster3-medoid1,7.025793650793651,medoid
cluster3-medoid2,45.0,complete
cluster3-medoid2,7.9138785068836635,average
cluster3-medoid2,4.553862894450489,medoid
cluster3-medoid3,52.0,complete
cluster3-medoid3,7.413316157027595,average
cluster3-medoid3,4.448979591836735,medoid
cluster1-medoid0,49.0,complete
cluster1-medoid0,14.704016913319238,average
cluster1-medoid0,9.255813953488373,medoid
cluster1-medoid1,68.0,complete
cluster1-medoid1,11.846856158484066,average
cluster1-medoid1,6.8,medoid
cluster4-medoid0,24.0,complete
cluster4-medoid0,6.5671804976046975,average
cluster4-medoid0,3.835883171070932,medoid
cluster4-medoid1,23.0,complete
cluster4-medoid1,5.960970806302131,average
cluster4-medoid1,3.8481927710843373,medoid
cluster4-medoid2,32.0,complete
cluster4-medoid2,6.0917898527182155,average
cluster4-medoid2,3.51440329218107,medoid
cluster4-medoid3,39.0,complete
cluster4-medoid3,7.003223883831816,average
cluster4-medoid3,4.203125,medoid
cluster4-medoid4,17.0,complete
cluster4-medoid4,5.620317570700046,average
cluster4-medoid4,3.0166898470097356,medoid
cluster2-medoid0,53.0,complete
cluster2-medoid0,7.788147074441367,average
cluster2-medoid0,4.578813559322034,medoid
cluster2-medoid1,25.0,complete
cluster2-medoid1,9.040780141843971,average
cluster2-medoid1,5.957446808510638,medoid
cluster2-medoid2,53.0,complete
cluster2-medoid2,9.881714730443196,average
cluster2-medoid2,6.203193033381712,medoid
